,index,agency_cd,site_no,station_nm,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,parameter_code
7056,7057,USGS,07350500,(COE) Red River at Coushatta,32.01266134,-93.35295020,U,NAD83,00065
7057,7058,USGS,07350505,(COE) Red River at L&D No.4 (Upper) nr Red Oak,31.93960625,-93.27572560,U,NAD83,00065
7058,7059,USGS,07350700,"Bayou Pierre at Shreveport, LA",32.44333333,-93.73083330,S,NAD83,00065
7059,7060,USGS,07350900,"Bayou Pierre nr. Robson, LA.",32.37376660,-93.67517780,5,NAD83,00065
7060,7061,USGS,07350985,"Boggy Bayou N of Spring Ridge, LA",32.35666667,-93.94583330,S,NAD83,00065
7061,7062,USGS,07351000,"Boggy Byu nr Keithville, LA",32.37655556,-93.82122220,5,NAD83,00065
7062,7063,USGS,07351275,"Gilmer Bayou near Shreveport, LA",32.41361110,-93.89416670,S,NAD83,00065
7063,7064,USGS,07351500,"Cypress Bayou near Keithville, LA",32.30000000,-93.82777780,S,NAD83,00065
7064,7065,USGS,07351550,"(COE) Wallace Lake near Shreveport, LA",32.31876790,-93.67045570,S,NAD83,00065
7065,7066,USGS,07351750,"Bayou Pierre near Lake End, LA",31.89460754,-93.34183880,F,NAD83,00065
7066,7067,USGS,07351755,"Bayou Pierre near Powhatan, LA.",31.86044030,-93.20627890,U,NAD83,00065
7067,7068,USGS,07352000,"Saline Bayou near Lucky, LA",32.25015720,-92.97654840,U,NAD83,00065
7068,7069,USGS,07352820,"Grand Bayou Reservoir at spillway nr Coushatta, LA",31.99878889,-93.21326670,S,NAD83,00065
7069,7070,USGS,07352895,"Black Lake Bayou near Clarence, LA",31.87333333,-92.96638890,S,NAD83,00065
7070,7071,USGS,07353520,"Nantachie Lake near Aloha, LA",31.60416667,-92.78638890,S,NAD83,00065
7071,7072,USGS,07353990,"KISATCHIE BAYOU AT KISATCHIE, LA.",31.42250000,-93.17083330,S,NAD83,00065
7072,7073,USGS,073556009,"Red River 6.5 miles below Black River, LA",31.21947220,-91.75241670,1,NAD83,00065
7073,7074,USGS,07355860,"Board Camp Cr nr Wolf Pen Gap Rec nr Nunley, AR",34.48597220,-94.11786110,S,NAD83,00065
7074,7075,USGS,07355870,"Gap Cr nr Wolf Pen Gap Rec Area nr Nunley, AR",34.48411110,-94.12613890,S,NAD83,00065
7075,7076,USGS,07356000,"Ouachita River near Mount Ida, AR",34.61000000,-93.69750000,T,NAD83,00065
7076,7077,USGS,07358250,"Whittington Cr at Whitt. Pk at Hot Springs, AR",34.51344444,-93.08041670,1,NAD83,00065
7077,7078,USGS,07358253,"Whittington Cr at Tunnel Ent at Hot Springs, AR",34.51716667,-93.05750000,1,NAD83,00065
7078,7079,USGS,07358257,"Hot Sprngs Cr US of T.E. at Glade St at Hot Sp.,AR",34.52361110,-93.05444440,1,NAD83,00065
7079,7080,USGS,07358280,"Hot Springs at Hot Springs, AR",34.51175606,-93.05351280,T,NAD83,00065
7080,7081,USGS,07358284,"Hot Springs Cr DS of Grand Ave at Hot Springs, AR",34.50277778,-93.05055560,1,NAD83,00065
7081,7082,USGS,07358500,"Lake Hamilton at Carpenter Dam nr. Hot Springs, AR",34.44446389,-93.02584720,U,NAD83,00065
7082,7083,USGS,07358550,"Gulpha Creek at Hot Springs, AR",34.50888889,-93.00916670,T,NAD83,00065
7083,7084,USGS,07358570,"Gulpha Cr at Ridgeway St at Hot Springs, AR",34.49400000,-93.00650000,S,NAD83,00065
7084,7085,USGS,07359000,"Lake Catherine at Jones Mill, AR",34.42950278,-92.89297780,T,NAD83,00065
7085,7086,USGS,07359002,"Ouachita River at Remmel Dam above Jones Mill, AR",34.42611110,-92.89083330,S,NAD83,00065
7086,7087,USGS,07359610,"Caddo River near Caddo Gap, AR",34.38277778,-93.60611110,S,NAD83,00065
7087,7088,USGS,07360200,"Little Missouri River near Langley, AR",34.31166667,-93.89972220,T,NAD83,00065
7088,7089,USGS,07361500,"Antoine River at Antoine, AR",34.03888889,-93.41805560,S,NAD83,00065
7089,7090,USGS,07362000,"Ouachita River at Camden, AR",33.59638889,-92.81805560,T,NAD83,00065
7090,7091,USGS,07362100,"Smackover Creek near Smackover, AR",33.37527778,-92.77666670,S,NAD83,00065
7091,7092,USGS,07362500,"Moro Creek near Fordyce, AR",33.79222220,-92.33333330,S,NAD83,00065
7092,7093,USGS,07362579,"South Alum Creek nr Jessieville, AR",34.79555556,-93.00694440,S,NAD83,00065
7093,7094,USGS,07362587,"Alum Fork Saline River near Reform, AR",34.79750000,-92.93388890,T,NAD83,00065
7094,7095,USGS,07362591,"Alum Fork Saline River at Winona Dam at Reform, AR",34.79777778,-92.84555560,T,NAD83,00065
7095,7096,USGS,07363000,"Saline River at Benton, AR",34.56777778,-92.61027780,S,NAD83,00065
7096,7097,USGS,07363054,"Saline River near Shaw, AR",34.49898229,-92.56293830,T,NAD83,00065
7097,7098,USGS,07363200,"Saline River near Sheridan, AR",34.11611110,-92.40555560,M,NAD83,00065
7098,7099,USGS,07363400,"Hurricane Creek below Sheridan, AR",34.22861110,-92.37250000,M,NAD83,00065
7099,7100,USGS,07363500,"Saline River near Rye, AR",33.70083330,-92.02583330,S,NAD83,00065
7100,7101,USGS,07364000,"Saline River near Warren, AR",33.60677523,-92.01069240,T,NAD83,00065
7101,7102,USGS,07364078,Ouachita River at Felsenthal L&D (lower),33.05611110,-92.12083330,1,NAD83,00065
7102,7103,USGS,07364130,"Deep Bayou near Star City, AR",33.96312500,-91.69244720,S,NAD83,00065
7103,7104,USGS,07364133,"Bayou Bartholomew at Garrett Bridge, AR",33.86638889,-91.65611110,T,NAD83,00065
7104,7105,USGS,07364150,"Bayou Bartholomew near McGehee, AR",33.62777778,-91.44583330,1,NAD83,00065
7105,7106,USGS,07364185,"Bayou Bartholomew near Portland, AR",33.23555556,-91.53555560,S,NAD83,00065
7106,7107,USGS,07364200,"Bayou Bartholomew near Jones, LA",32.99040490,-91.65567790,F,NAD83,00065
7107,7108,USGS,07364203,"Bayou Bartholomew NW of Jones, LA",32.98472220,-91.69861110,S,NAD83,00065
7108,7109,USGS,07364300,"Chemin-A-Haut Bayou near Beekman, LA",32.98207210,-91.80568180,U,NAD83,00065
7109,7110,USGS,07364500,"(COE) Bayou Bartholomew near Beekman, LA",32.87235338,-91.86790540,U,NAD83,00065
7110,7111,USGS,073645001,"Bayou Bartholomew at Hwy 425 nr Beekman, LA",32.87319444,-91.86816670,5,NAD83,00065
7111,7112,USGS,07364535,"Ouachita River at Sterlington, LA",32.69624876,-92.08679990,U,NAD83,00065
7112,7113,USGS,07364775,"Byu De Loutre nr Sterlington, LA",32.71241667,-92.18827780,5,NAD83,00065
7113,7114,USGS,07364840,"Lake Claiborne near Aycock, LA",32.74083333,-92.90305560,S,NAD83,00065
7114,7115,USGS,07365000,"Byu D'Arbonne nr Dubach, LA",32.68075000,-92.64991670,5,NAD83,00065
7115,7116,USGS,07365500,"Middle Fk Byu D'Arbonne nr Bernice, LA",32.76380556,-92.65819440,5,NAD83,00065
7116,7117,USGS,07365750,"Bayou D'Arbonne at Hwy 151 E of Dubach, LA",32.69466667,-92.55311110,S,NAD83,00065
7117,7118,USGS,07366200,"Little Corney Bayou near Lillie, LA",32.92930640,-92.63293050,U,NAD83,00065
7118,7119,USGS,07366364,Bayou Darbonne Lake at Dam near Downsville,32.71329444,-92.34076390,5,NAD83,00065
7119,7120,USGS,07366472,"Chauvin Bayou near Monroe, LA",32.55916667,-92.07583330,S,NAD83,00065
7120,7121,USGS,07366497,"Bayou DeSiard at NE Drive at Monroe, La",32.52941667,-92.07172220,5,NAD83,00065
7121,7122,USGS,07367005,"Ouachita River at West Monroe, LA",32.50027778,-92.11972220,S,NAD83,00065
7122,7123,USGS,07367047,"Slough Bayou at Bancroft Blvd at West Monroe, La",32.47616667,-92.13458330,5,NAD83,00065
7123,7124,USGS,07367680,"Boeuf River nr Eudora, AR",33.12416667,-91.34777780,T,NAD83,00065
7124,7125,USGS,07367690,Boeuf River at Ark/La State Line,33.00138889,-91.43805560,5,NAD83,00065
7125,7126,USGS,07367930,"Bayou Bonne Idee east of Oak Ridge, LA",32.64361110,-91.70355560,5,NAD83,00065
7126,7127,USGS,07368000,"Boeuf River near Girard, LA",32.48125346,-91.79790400,U,NAD83,00065
7127,7128,USGS,07368503,"Big Colewa Bayou at Prince Rd nr Pioneer, LA",32.75458333,-91.53183330,5,NAD83,00065
7128,7129,USGS,07368520,"Big Ck @ Holly Ridge, LA",32.46647220,-91.61141670,5,NAD83,00065
7129,7130,USGS,07369000,"Bayou Lafourche near Crew Lake, LA",32.50000000,-91.91805560,S,NAD83,00065
7130,7131,USGS,07369024,"Youngs Bayou nr Monroe, LA",32.46000000,-92.04750000,S,NAD83,00065
7131,7132,USGS,07369050,"Bayou Lafourche near Alto, LA",32.39736870,-91.99457630,U,NAD83,00065
7132,7133,USGS,07369500,"Tensas River at Tendal, LA",32.43208704,-91.36678139,S,NAD83,00065
7133,7134,USGS,07369515,"Tensas River SE of Tendal, LA.",32.38819964,-91.33483630,U,NAD83,00065
7134,7135,USGS,07369649,"(COE) Tensas River south of Newlight, LA",32.08932064,-91.48984150,U,NAD83,00065
7135,7136,USGS,07369680,"Bayou Macon at Eudora, AR",33.10027778,-91.25444440,S,NAD83,00065
7136,7137,USGS,07369700,"Bayou Macon nr Kilbourne, LA",32.99317990,-91.26261190,U,NAD83,00065
7137,7138,USGS,07370000,"Bayou Macon near Delhi, LA",32.45777778,-91.47611110,S,NAD83,00065
7138,7139,USGS,07370075,BAYOU MACON SOUTH OF DELHI LA,32.38500000,-91.47500000,S,NAD83,00065
7139,7140,USGS,07370500,"Castor Ck nr Grayson, LA",32.08158333,-92.20650000,5,NAD83,00065
7140,7141,USGS,07370600,"BEAUCOUP CK NR COTTON PLANT, LA",32.10916667,-92.32111110,S,NAD83,00065
7141,7142,USGS,07370800,"Castor Creek at Tullos, LA.",31.83036110,-92.34094440,5,NAD83,00065
7142,7143,USGS,07371500,"Dugdemona River near Jonesboro, LA",32.20710150,-92.80154340,U,NAD83,00065
7143,7144,USGS,07372050,"Dugdemona River near Joyce, LA",31.93694444,-92.60333330,S,NAD83,00065
7144,7145,USGS,07372190,"Little River at Rochelle, LA.",31.79322390,-92.36180640,U,NAD83,00065
7145,7146,USGS,07372200,"Little River near Rochelle, LA",31.75433630,-92.34458330,U,NAD83,00065
7146,7147,USGS,07372750,"LITTLE R NR POLLOCK, LA",31.58073046,-92.30985799,U,NAD83,00065
7147,7148,USGS,07373000,"Big Creek at Pollock, LA",31.53628730,-92.40847140,U,NAD83,00065
7148,7149,USGS,07373250,"HEMPHILL CREEK AT NEBO, LA",31.58461880,-92.13207680,U,NAD83,00065
7149,7150,USGS,07373300,"Byu Sara nr St. Francisville, LA",30.84483333,-91.40511110,5,NAD83,00065
7150,7151,USGS,07373700,"Thompson Ck nr Starhill, LA",30.74736110,-91.28558330,5,NAD83,00065
7151,7152,USGS,07374000,"Mississippi River at Baton Rouge, LA",30.44566667,-91.19155560,S,NAD83,00065
7152,7153,USGS,07374370,(COE) Mississippi River at Bonnet Carre Spillway,29.99881470,-90.44313850,S,NAD83,00065
7153,7154,USGS,07374510,"(COE) Mississippi River at New Orleans, LA",29.93492690,-90.13618489,S,NAD83,00065
7154,7155,USGS,073745235,"Bayou Dupre Sector Gate near Violet, LA",29.93519444,-89.83658330,5,NAD83,00065
7155,7156,USGS,073745245,"Caernarvon Canal Sector Gate at Caernarvon, La",29.85888889,-89.90694440,U,NAD83,00065
7156,7157,USGS,07374525,"Mississippi River at Belle Chasse, LA",29.85715084,-89.97784700,U,NAD83,00065
7157,7158,USGS,073745253,"Reggio Canal near Wills Point, LA",29.78416667,-89.93750000,S,NAD83,00065
7158,7159,USGS,073745257,Crooked B. NW of L. Cuatro Caballo near Delacroix,29.70826610,-89.71950650,U,NAD83,00065
7159,7160,USGS,073745258,"Cow Bayou at American Bay nr Pointe-A-La-Hache, LA",29.57076989,-89.70395240,U,NAD83,00065
7160,7161,USGS,07374526,"Black Bay nr Snake Island nr Pointe-A-La-Hache, LA",29.63354395,-89.56366940,U,NAD83,00065
7161,7162,USGS,07374527,"Northeast Bay Gardene near Point-A-LA-Hache, LA",29.58596260,-89.60603230,5,NAD83,00065
7162,7163,USGS,073745275,"Black Bay nr Stone Island nr Pointe-A-La-Hache, LA",29.56930556,-89.51222220,S,NAD83,00065
7163,7164,USGS,07374550,"(COE) Mississippi River at Venice, LA",29.27410950,-89.35005360,S,NAD83,00065
7164,7165,USGS,07374581,"Bayou Liberty near Slidell,LA",30.30130578,-89.83062149,U,NAD83,00065
7165,7166,USGS,07375000,"Tchefuncte River near Folsom, LA",30.61602230,-90.24869540,S,NAD83,00065
7166,7167,USGS,07375050,"Tchefuncte River near Covington, LA",30.49411110,-90.17022220,S,NAD83,00065
7167,7168,USGS,07375105,Bogue Falaya River near Camp Covington,30.55638889,-90.14611110,F,NAD83,00065
7168,7169,USGS,07375170,"Bogue Falaya at Covington, LA",30.49963635,-90.08452160,S,NAD83,00065
7169,7170,USGS,07375175,"Bogue Falaya River at Boston St. at Covington, LA",30.47638889,-90.08944440,F,NAD83,00065
7170,7171,USGS,07375222,"Abita River north of Abita Springs, LA",30.48213676,-90.03896440,U,NAD83,00065
7171,7172,USGS,07375230,"Tchefuncte River at Madisonville, LA",30.40408290,-90.15480090,S,NAD83,00065
7172,7173,USGS,07375280,"TANGIPAHOA RIVER AT OSYKA, MS",31.01222220,-90.46111110,5,NAD83,00065
7173,7174,USGS,07375300,"Tangipahoa River near Kentwood, LA",30.93768029,-90.49037280,U,NAD83,00065
7174,7175,USGS,07375410,"Tangipahoa River at Tangipahoa, La",30.87613889,-90.49502780,5,NAD83,00065
7175,7176,USGS,07375430,"Tangipahoa River near Amite, LA",30.72907467,-90.48425869,U,NAD83,00065
7176,7177,USGS,07375450,"Tangipahoa R nr Tickfaw, La.",30.60268909,-90.43897800,R,NAD83,00065
7177,7178,USGS,07375480,"CHAPPEPEELA CREEK SOUTHEAST OF LORANGER, LA.",30.60650000,-90.33200000,5,NAD83,00065
7178,7179,USGS,07375500,"Tangipahoa River at Robert, LA",30.50658047,-90.36175240,S,NAD83,00065
7179,7180,USGS,07375650,"Tangipahoa River near Ponchatoula, LA",30.44369444,-90.33458330,S,NAD83,00065
7180,7181,USGS,07375800,"Tickfaw River at Liverpool, LA",30.93073559,-90.67343170,S,NAD83,00065
7181,7182,USGS,07375960,"Tickfaw River at Montpelier, LA",30.68629707,-90.64315090,U,NAD83,00065
7182,7183,USGS,07376000,"Tickfaw River at Holden, LA",30.50380160,-90.67731630,S,NAD83,00065
7183,7184,USGS,07376300,"Tickfaw River Near Springfield, La.",30.37655556,-90.55111110,5,NAD83,00065
7184,7185,USGS,07376500,"Natalbany River at Baptist, LA",30.50435795,-90.54592400,U,NAD83,00065
7185,7186,USGS,07377000,"Amite River near Darlington, LA",30.88906940,-90.84454540,S,NAD83,00065
7186,7187,USGS,07377150,"Amite River at Grangeville, LA",30.73629484,-90.84176699,S,NAD83,00065
7187,7188,USGS,07377210,"Sandy Creek nr Pride, LA",30.67074060,-90.96010240,S,NAD83,00065
7188,7189,USGS,07377230,"Little Sandy Creek at Peairs Rd SE of Milldale, LA",30.64368560,-91.00746450,U,NAD83,00065
7189,7190,USGS,07377243,"Sandy Ck at Alph. Forbes nr Greenwell Springs, LA",30.62110833,-90.98211670,S,NAD83,00065
7190,7191,USGS,07377300,"Amite River at Magnolia, LA",30.53491060,-90.98065790,S,NAD83,00065
7191,7192,USGS,07377500,"Comite River near Olive Branch, LA",30.75657180,-91.04399350,S,NAD83,00065
7192,7193,USGS,07377600,"Comite R. at Pt. Hudson-Pride Rd near Milldale, LA",30.70229538,-91.05129910,U,NAD83,00065
7193,7194,USGS,07377750,"Comite River near Zachary, LA",30.64324138,-91.09455000,U,NAD83,00065
7194,7195,USGS,07377754,"Comite River near Baker, LA",30.59629809,-91.09427220,U,NAD83,00065
7195,7196,USGS,07377760,"Comite River at Comite Dr near Baton Rouge, LA",30.55827126,-91.09827220,1,NAD83,00065
7196,7197,USGS,07377780,"White Bayou at State Hwy 64 near Zachary, LA",30.64935240,-91.13149540,S,NAD83,00065
7197,7198,USGS,07377870,"Comite River at Hooper Road near Baton Rouge, LA",30.53074415,-91.09371640,U,NAD83,00065
7198,7199,USGS,07378000,"Comite River near Comite, LA",30.51268900,-91.07371580,S,NAD83,00065
7199,7200,USGS,07378008,"Hurricane Creek at Baton Rouge, LA",30.48213429,-91.12816160,U,NAD83,00065
7200,7201,USGS,07378050,"Comite R. at Greenwell Spg Rd near Baton Rouge, LA",30.50574466,-91.04010380,S,NAD83,00065
7201,7202,USGS,07378075,"Beaver Bayou at Denham Road nr Baton Rouge, LA",30.58768705,-91.02482590,U,NAD83,00065
7202,7203,USGS,07378083,"Beaver Bayou at Hooper Road near Baton Rouge, LA",30.56102103,-91.02093680,S,NAD83,00065
7203,7204,USGS,07378100,"Beaver Bayou at Wax Rd near Baton Rouge, LA",30.54296590,-91.02065900,U,NAD83,00065
7204,7205,USGS,07378500,"Amite River near Denham Springs, LA",30.46407900,-90.99038000,S,NAD83,00065
7205,7206,USGS,07378650,"Jones Cr. at Old Hammond Hwy near Baton Rouge, LA",30.44074630,-91.04454800,U,NAD83,00065
7206,7207,USGS,07378722,"Claycut Bayou at Antioch Rd near Baton Rouge, LA",30.38685874,-91.00732440,U,NAD83,00065
7207,7208,USGS,07378745,"Alligator Bayou near Kleinpeter, LA",30.32125000,-91.02072220,5,NAD83,00065
7208,7209,USGS,07378746,"Bayou Manchac at Alligator B. near Kleinpeter, LA",30.32138889,-91.02094440,S,NAD83,00065
7209,7210,USGS,07378748,"Bluff Swamp near Kleinpeter, LA",30.32352700,-91.01815760,S,NAD83,00065
7210,7211,USGS,07378810,"Bayou Fountain at Bluebonnet Blvd near  B.R., LA",30.35852615,-91.10816030,U,NAD83,00065
7211,7212,USGS,07379000,"Ward Creek at Government St at Baton Rouge, LA",30.44446855,-91.14316180,U,NAD83,00065
7212,7213,USGS,07379050,"Ward Creek at Essen Lane near Baton Rouge, LA",30.40491390,-91.10343820,U,NAD83,00065
7213,7214,USGS,07379075,Old Ward Crk Div. at Highland Rd. nr Baton Rouge,30.35519288,-91.01510220,U,NAD83,00065
7214,7215,USGS,07379100,"North Branch Ward Creek at Baton Rouge, LA",30.41796914,-91.09149350,U,NAD83,00065
7215,7216,USGS,07379960,"Dawson Cr. at Bluebonnet Blvd near Baton Rouge, LA",30.38241445,-91.09427120,S,NAD83,00065
7216,7217,USGS,07380101,"Bayou Manchac near Little Prairie, LA",30.34047129,-90.91732160,U,NAD83,00065
7217,7218,USGS,07380102,"Welsh Gully at J. Broussard Rd nr Prairieville, LA",30.33686010,-90.96898970,U,NAD83,00065
7218,7219,USGS,07380106,"Muddy Creek at Hwy 42 near Oak Grove, LA",30.32055556,-90.95416670,U,NAD83,00065
7219,7220,USGS,07380120,"Amite River at Port Vincent, LA",30.33269390,-90.85204190,S,NAD83,00065
7220,7221,USGS,07380126,"Henderson Bayou near Port Vincent, LA",30.29741690,-90.88370919,U,NAD83,00065
7221,7222,USGS,07380127,"Henderson Bayou Pump Station near Port Vincent, LA",30.31825000,-90.85986110,S,NAD83,00065
7222,7223,USGS,07380200,"Amite River near French Settlement, LA",30.27547330,-90.77926160,S,NAD83,00065
7223,7224,USGS,07380210,"Amite River Diversion south of Whitehall, LA",30.22686110,-90.68805560,5,NAD83,00065
7224,7225,USGS,07380212,"Airline Canal at Blind River near Gramercy, LA",30.10158889,-90.73648890,5,NAD83,00065
7225,7226,USGS,07380215,"Amite River at Hwy 22 near Maurepas, LA",30.30769444,-90.60872220,5,NAD83,00065
7226,7227,USGS,073802220,"Panama Canal at Hwy 44 near Gonzales, LA",30.17075320,-90.91870920,S,NAD83,00065
7227,7228,USGS,073802225,"Bayou Conway near Sorrento, LA",30.17325336,-90.86120760,U,NAD83,00065
7228,7229,USGS,0738022295,"Grand Goudine at Babin Rd Near Duplessis, LA",30.26213980,-90.96343350,F,NAD83,00065
7229,7230,USGS,0738022395,"Black Bayou at Hwy 621 near Prairieville, LA",30.26944444,-90.91694440,M,NAD83,00065
7230,7231,USGS,073802245,"Black Bayou E of Gonzales, LA",30.23741844,-90.87009720,U,NAD83,00065
7231,7232,USGS,073802273,"Bayou Francois at Hwy 61 Near Gonzales, LA",30.22741860,-90.89954250,U,NAD83,00065
7232,7233,USGS,073802280,"New River north of Sorrento, La",30.21519444,-90.81990560,S,NAD83,00065
7233,7234,USGS,073802282,"New River Canal near Sorrento, LA",30.18936433,-90.78620550,U,NAD83,00065
7234,7235,USGS,073802284,"New River Canal east of Sorrento, LA",30.18925000,-90.78127780,S,NAD83,00065
7235,7236,USGS,073802302,"Pass Manchac nr. Lake Maurepas, LA",30.28356667,-90.39783890,H,NAD83,00065
7236,7237,USGS,073802332,Inner Harbor Navigation Canal nr Seabrook bridge,30.03013889,-90.03416670,S,NAD83,00065
7237,7238,USGS,073802339,"GIWW East Storm Surge Barrier at New Orleans, LA",30.01444444,-89.90194440,U,NAD83,00065
7238,7239,USGS,07380238,"Naomi Diversion Canal near Naomi, LA",29.69911110,-89.98886110,S,NAD83,00065
7239,7240,USGS,07380245,"Southwestern Louisiana Canal E of Leeville, LA",29.25938889,-90.13998060,U,NAD83,00065
7240,7241,USGS,07380249,"Caminada Pass NW of Grand Isle, LA",29.23136110,-90.04852780,S,NAD83,00065
7241,7242,USGS,07380251,"Barataria Bay N of Grand Isle, LA",29.42272045,-89.95062680,S,NAD83,00065
7242,7243,USGS,073802511,"Barataria Waterway at Mud Lake S of Lafitte, LA",29.47427220,-90.00660560,U,NAD83,00065
7243,7244,USGS,073802512,"Hackberry Bay NW of Grand Isle, LA",29.39855505,-90.04118440,U,NAD83,00065
7244,7245,USGS,073802514,Barataria Waterway at Champagne Bay nr Grand Isle,29.33361110,-89.98850000,S,NAD83,00065
7245,7246,USGS,073802516,"Barataria Pass at Grand Isle, LA",29.27283333,-89.94680560,5,NAD83,00065
7246,7247,USGS,07380255,"Bayou Dupont nr Round Lake S of Myrtle Grove, LA",29.57673333,-89.98640830,1,NAD83,00065
7247,7248,USGS,07380260,"Empire Waterway south of Empire, LA",29.30452778,-89.59700000,S,NAD83,00065
7248,7249,USGS,07380330,"Bayou Perot at Point Legard near Cutoff, LA",29.56577778,-90.16555560,S,NAD83,00065
7249,7250,USGS,07380335,"Little Lake Near Cutoff, LA",29.51771740,-90.18146550,U,NAD83,00065
7250,7251,USGS,07380401,"Bayou Lafourche SW of Donaldsonville, LA",30.09658793,-91.00593320,T,NAD83,00065
7251,7252,USGS,07380500,"Bayou Lafourche at Napoleonville, LA",29.94150000,-91.02322220,S,NAD83,00065
7252,7253,USGS,07381000,"Bayou Lafourche at Thibodaux, LA",29.79798540,-90.82259320,S,NAD83,00065
7253,7254,USGS,07381150,"Bayou Lafourche at Lockport, LA",29.64705556,-90.53677780,5,NAD83,00065
7254,7255,USGS,07381324,"Bayou Grand Caillou at Dulac, LA",29.38299869,-90.71536740,S,NAD83,00065
7255,7256,USGS,07381349,"Caillou Lake (Sister Lake) SW of Dulac, LA",29.24916667,-90.92111110,5,NAD83,00065
7256,7257,USGS,073813498,"Caillou Bay SW of Cocodrie, LA",29.07805556,-90.87138890,S,NAD83,00065
7257,7258,USGS,07381350,"Company Canal at Hwy 1 at Lockport, LA",29.64521343,-90.54480800,F,NAD83,00065
7258,7259,USGS,07381355,"Company Canal at Salt Barrier near Lockport, LA",29.62733333,-90.55766670,S,NAD83,00065
7259,7260,USGS,07381412,INTRACOASTAL WATERWAY NR PORT ALLEN LA,30.43222220,-91.21047220,S,NAD83,00065
7260,7261,USGS,07381427,"Bayou Grosse Tete S. of I10 at Grosse Tete, LA",30.41472220,-91.43208330,5,NAD83,00065
7261,7262,USGS,07381429,"Choctaw Bayou at I-10 east of Grosse Tete, LA",30.44380348,-91.34788720,F,NAD83,00065
7262,7263,USGS,07381450,"Lower Grand River at Bayou Sorrel, LA",30.15572220,-91.33138890,5,NAD83,00065
7263,7264,USGS,07381452,"Choctaw Bayou at Hwy 404 W of White Castle, LA",30.12633333,-91.27627780,5,NAD83,00065
7264,7265,USGS,07381454,"Belle River at Hwy 70 near Pierre Part, LA",29.90911110,-91.21583330,5,NAD83,00065
7265,7266,USGS,07381460,"Bayou Milhomme near Stephensville, LA",29.78025000,-91.16691670,1,NAD83,00065
7266,7267,USGS,073814675,"Bayou Boeuf at Railroad Bridge at Amelia, LA",29.66833333,-91.09972220,S,NAD83,00065
7267,7268,USGS,07381482,Old River Outflow Channel below Hydropower Channel,31.06675000,-91.64827780,1,NAD83,00065
7268,7269,USGS,07381490,"Atchafalaya River at Simmesport, LA",30.98250000,-91.79833330,S,NAD83,00065
7269,7270,USGS,07381495,"(COE) Atchafalaya River at Melville, LA",30.69074300,-91.73622620,S,NAD83,00065
7270,7271,USGS,07381500,"Atchafalaya R @ Krotz Springs, LA",30.54685880,-91.75122640,U,NAD83,00065
7271,7272,USGS,07381515,"Atchafalaya River at Butte La Rose, LA",30.28158638,-91.68677970,U,NAD83,00065
7272,7273,USGS,073815450,"Chicot Pass near Myette Point near Charenton, LA",29.89270406,-91.44566620,M,NAD83,00065
7273,7274,USGS,07381567,"Buffalo Cove at Round Island near Charenton, LA",29.98353560,-91.52511360,S,NAD83,00065
7274,7275,USGS,07381588,"Intracoastal Waterway southwest of Pierre Part, LA",29.92238889,-91.23936110,5,NAD83,00065
7275,7276,USGS,07381590,"Wax Lake Outlet at Calumet, LA",29.69798645,-91.37288550,S,NAD83,00065
7276,7277,USGS,073815945,"Bayou Teche E of Calumet Flood Gate at Calumet, LA",29.70437513,-91.37399660,U,NAD83,00065
7277,7278,USGS,073815963,"Murphy Lake near Bayou Sorrel, LA",30.10655556,-91.38541670,S,NAD83,00065
7278,7279,USGS,07381600,"Lower Atchafalaya River at Morgan City, LA",29.69281939,-91.21193680,S,NAD83,00065
7279,7280,USGS,073816503,"Bayou Penchant S of Morgan City, LA",29.58555556,-91.15527780,S,NAD83,00065
7280,7281,USGS,073816525,Mouth of Atchafalaya River at Atchafalaya Bay,29.43025000,-91.33388890,5,NAD83,00065
7281,7282,USGS,07381670,"GIWW at Bayou Sale Ridge near Franklin, LA",29.68083333,-91.47055560,S,NAD83,00065
7282,7283,USGS,07382000,"Bayou Cocodrie near Clearwater, LA",31.00027778,-92.38027780,S,NAD83,00065
7283,7284,USGS,07382500,"Bayou Courtableau at Washington, LA",30.61825175,-92.05567410,U,NAD83,00065
7284,7285,USGS,07383500,"Bayou Des Glaises Diversion Ch. at Moreauville, LA",31.03324368,-91.98262120,U,NAD83,00065
7285,7286,USGS,07383510,"Bayou Des Glaises Div Ch nr Moreauville, LA.",31.00018808,-91.96678740,S,NAD83,00065
7286,7287,USGS,07384400,"State Canal near Krotz Springs, LA",30.56602634,-91.83150470,U,NAD83,00065
7287,7288,USGS,07385450,"Bayou Teche @ Port Barre, LA.",30.55802778,-91.95794440,5,NAD83,00065
7288,7289,USGS,07385500,"BAYOU TECHE @ ARNAUDVILLE, LA",30.39741950,-91.93067280,U,NAD83,00065
7289,7290,USGS,07385700,"Bayou Teche at Keystone L&D nr St. Martinville, LA",30.07103537,-91.82928360,S,NAD83,00065
7290,7291,USGS,07385702,Bayou Teche below Keystone L&D nr St. Martinville,30.07075759,-91.82900580,U,NAD83,00065
7291,7292,USGS,07385765,"Bayou Teche at Adeline Bridge near Jeanerette, LA",29.87937163,-91.58622480,U,NAD83,00065
7292,7293,USGS,07385820,"Bayou Teche W of Calumet Flood Gate at Calumet, LA",29.70409736,-91.37288540,U,NAD83,00065
